Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-08-29 21:40:50,false,"Toronto Running","2.19","137","00:14:10","122","131","167","174","6:27","5:26","3","6","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:09.59","1","0.0","00:00:00","00:14:10","75","81"
Running,2021-08-28 11:52:03,false,"Trent Hills Running","2.75","189","00:15:16","137","155","165","242","5:33","4:59","5","1","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","15:16.12","1","0.0","00:00:00","00:15:16","185","192"
Running,2021-08-27 07:45:20,false,"Toronto Running","2.04","135","00:14:08","120","135","160","180","6:56","5:24","3","7","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:08.38","1","0.0","00:00:00","00:14:08","75","82"
Running,2021-08-26 16:58:20,false,"Toronto Running","2.01","144","00:12:53","128","158","152","176","6:26","4:48","5","2","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:53.46","1","0.0","00:00:00","00:12:53","78","86"
Running,2021-08-25 17:12:41,false,"Toronto - Time Trial","4.01","283","00:21:17","149","185","167","192","5:18","3:31","2","7","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:11.77","5","0.0","00:00:00","00:21:22","75","88"
Cycling,2021-08-24 18:23:28,false,"Toronto Cycling","5.93","192","00:19:21","124","172","--","--","18.4","32.1","--","5","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:44.26","2","0.0","00:00:00","00:19:22","75","80"
Running,2021-08-24 07:47:34,false,"Toronto Running","2.02","115","00:13:15","112","122","161","178","6:34","4:21","3","6","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:15.39","1","0.0","00:00:00","00:13:15","75","81"
Running,2021-08-23 16:37:49,false,"Toronto - Easy Run","4.54","305","00:25:15","138","160","167","182","5:34","4:24","20","21","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:00.00","3","0.0","00:00:00","00:25:18","75","94"
Running,2021-08-22 08:13:03,false,"Toronto Running","2.01","127","00:11:52","127","144","158","173","5:55","5:05","3","6","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:51.51","1","0.0","00:00:00","00:11:52","75","81"
Running,2021-08-21 08:16:31,false,"Toronto Running","2.00","141","00:12:17","132","144","161","173","6:08","5:14","3","7","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:16.53","1","0.0","00:00:00","00:12:17","75","82"
